Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(m/s),TrueHeading,Alt(m), HorizontalAccuracy(m), VerticalAccuracy(m),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
29-Jan-2019 12:35:24.390, 0.0736,-0.2503,-0.9173, 0.0165,-0.0093, 0.0515,-0.0541,-0.0151,-0.0120, 0.0588, 0.2434,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.393, 0.0736,-0.2503,-0.9173, 0.0165,-0.0093, 0.0515,-0.0541,-0.0151,-0.0120, 0.0588, 0.2434,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.393, 0.0736,-0.2503,-0.9173, 0.0165,-0.0093, 0.0515,-0.0541,-0.0151,-0.0120, 0.0588, 0.2434,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.394, 0.0736,-0.2503,-0.9173, 0.0165,-0.0093, 0.0515,-0.0541,-0.0151,-0.0120, 0.0588, 0.2434,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.395, 0.0736,-0.2503,-0.9173, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.395, 0.0736,-0.2503,-0.9173, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.396, 0.0736,-0.2503,-0.9173, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.396, 0.0500,-0.2483,-0.9556, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.397, 0.0500,-0.2483,-0.9556, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
29-Jan-2019 12:35:24.399, 0.0500,-0.2483,-0.9556, 0.0165,-0.0095, 0.0515,-0.0211,-0.0203,-0.0129, 0.0588, 0.2433,-0.5854,49.736210,-123.103247, 0.0040, 223.0055, 121.185921, 4.0, 3.0,Stationary,Low, 100.7251,-0.7531,-31.3986,-121.2831,-448.7838, 0.0000, 0.0000, 0.0000
