Timestamp,accelZ(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),,Acceleration,a * t,1/2 * a * t^2,  ,Deceleration,a * t,distance traveled while decelerating
01:24.3,-0.9861,0.015,-0.0051,-0.0244,-0.0107,0.0202,0.0016,0.2042,,0.492746798,0.655845988,0.436465505,,-0.262221019,-0.572952927,0.80707241
01:24.3,-0.9861,0.015,-0.0051,-0.0244,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9861,0.015,-0.0051,-0.0244,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9861,0.015,-0.0051,-0.0244,-0.0107,0.0202,0.0016,0.2042,,,middle  t,middle t * a,,correction for baseline,,
01:24.3,-0.9861,0.015,-0.0051,-0.0244,-0.0107,0.0202,0.0016,0.2042,,,16.369,10.73554297,,0.130049105,,
01:24.3,-0.9861,0.0137,-0.0073,-0.0181,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9861,0.0137,-0.0073,-0.0181,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9861,0.0137,-0.0073,-0.0181,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9886,0.0137,-0.0073,-0.0181,-0.0107,0.0202,0.0016,0.2042,,,,,,,,
01:24.3,-0.9875,0.0111,-0.0084,-0.0127,-0.0128,0.0201,0.0016,0.2042,,,,,,,,
01:24.4,-0.9859,0.0122,-0.0094,-0.0106,-0.0128,0.0201,0.0016,0.2042,,,,,,,,
01:24.4,-0.9863,0.0138,-0.0094,-0.0149,-0.0118,0.0201,0.0016,0.2042,,,,,,,,
01:24.4,-0.9877,0.0135,-0.0105,-0.0149,-0.0118,0.0201,0.0016,0.2042,,,,,,,,
01:24.4,-0.9884,0.0121,-0.0105,-0.0138,-0.0129,0.0201,0.0016,0.2042,,,,,,,,
01:24.4,-0.9867,0.0114,-0.0083,-0.017,-0.0118,0.02,0.0016,0.2042,,,,,,,,
01:24.4,-0.9889,0.0131,-0.0073,-0.0149,-0.0128,0.02,0.0016,0.2041,,,,,,,,
01:24.4,-0.9876,0.0109,-0.0094,-0.0138,-0.0107,0.02,0.0016,0.2042,,,,,,,,
01:24.4,-0.9841,0.0122,-0.0084,-0.0128,-0.0118,0.02,0.0016,0.2042,,,,,,,,
01:24.4,-0.9876,0.0157,-0.0094,-0.0128,-0.0118,0.02,0.0016,0.2042,,,,,,,,
01:24.4,-0.9886,0.0122,-0.0083,-0.0159,-0.0118,0.02,0.0016,0.2042,,,,,,,,
01:24.5,-0.9865,0.0112,-0.0094,-0.0138,-0.0129,0.02,0.0016,0.2042,,,,,,,,
01:24.5,-0.9857,0.0133,-0.0084,-0.0149,-0.0118,0.02,0.0017,0.2042,,,,,,,,
01:24.5,-0.9855,0.0141,-0.0094,-0.0159,-0.0129,0.02,0.0017,0.2041,,,,,,,,
01:24.5,-0.9878,0.0143,-0.0094,-0.016,-0.0118,0.02,0.0017,0.2041,,,,,,,,
01:24.5,-0.9869,0.012,-0.0083,-0.016,-0.0107,0.0199,0.0017,0.2042,,,,,,,,
01:24.5,-0.9869,0.0129,-0.0094,-0.0149,-0.0107,0.0199,0.0017,0.2042,,,,,,,,
01:24.5,-0.9877,0.0129,-0.0073,-0.0159,-0.0107,0.0199,0.0017,0.2042,,,,,,,,
01:24.5,-0.9863,0.0121,-0.0083,-0.0159,-0.0118,0.0199,0.0017,0.2042,,,,,,,,
01:24.5,-0.9855,0.0135,-0.0083,-0.017,-0.0129,0.0198,0.0017,0.2042,,,,,,,,
01:24.5,-0.9891,0.0143,-0.0084,-0.0149,-0.0118,0.0198,0.0017,0.2042,,,,,,,,
01:24.6,-0.9864,0.0107,-0.0084,-0.0149,-0.0118,0.0198,0.0017,0.2042,,,,,,,,
01:24.6,-0.9858,0.0134,-0.0094,-0.0138,-0.0129,0.0198,0.0017,0.2042,,,,,,,,
01:24.6,-0.9882,0.014,-0.0084,-0.0149,-0.0118,0.0198,0.0017,0.2042,,,,,,,,
01:24.6,-0.9869,0.0116,-0.0105,-0.0149,-0.0097,0.0198,0.0017,0.2042,,,,,,,,
01:24.6,-0.9874,0.0129,-0.0094,-0.0149,-0.0118,0.0197,0.0017,0.2042,,,,,,,,
01:24.6,-0.9864,0.0124,-0.0084,-0.0117,-0.0118,0.0197,0.0018,0.2042,,,,,,,,
01:24.6,-0.9856,0.0142,-0.0094,-0.0128,-0.0107,0.0197,0.0018,0.2042,,,,,,,,
01:24.6,-0.9871,0.0142,-0.0083,-0.0159,-0.0118,0.0197,0.0018,0.2042,,,,,,,,
01:24.6,-0.9865,0.0127,-0.0083,-0.0159,-0.0129,0.0197,0.0018,0.2042,,,,,,,,
01:24.6,-0.9867,0.0133,-0.0073,-0.0159,-0.0128,0.0197,0.0018,0.2042,,,,,,,,
01:24.7,-0.9865,0.0131,-0.0094,-0.0149,-0.0107,0.0197,0.0018,0.2042,,,,,,,,
01:24.7,-0.9866,0.0133,-0.0073,-0.0159,-0.0118,0.0197,0.0018,0.2041,,,,,,,,
01:24.7,-0.9882,0.0132,-0.0084,-0.0138,-0.0118,0.0197,0.0018,0.2041,,,,,,,,
