Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(m/s),TrueHeading,Alt(m), HorizontalAccuracy(m), VerticalAccuracy(m)
50:57.5,-0.0296,-0.0828,-0.9589,-0.0253,0.0214,0.0471,0.1024,0.0539,0.0461,0.0203,0.0959,2.8562,49.737092,-123.098369,3.1312,285.1794,140.841736,8,3
50:57.5,0.0343,-0.0634,-1.0119,-0.0004,0.0177,-0.0158,-0.299,0.2778,0.0234,0.0348,0.0811,2.8578,49.737092,-123.098369,3.1312,285.1794,140.841736,8,3
50:57.6,0.0502,-0.0635,-0.962,0.0085,0.0197,0.0336,0.0096,0.0541,0.0247,0.0419,0.0833,2.8612,49.737092,-123.098369,3.1312,285.1794,140.841736,8,3
50:57.7,0.0282,-0.0671,-0.9796,-0.014,0.0107,0.0165,-0.0481,0.0254,0.0236,0.0423,0.0779,2.8634,49.737092,-123.098369,3.1312,285.1794,140.841736,8,3
50:57.8,0.0454,-0.0711,-0.9716,0.0033,0.0038,0.0247,-0.0278,0.0265,0.0118,0.0423,0.0749,2.8641,49.737092,-123.098369,3.1312,285.1794,140.841736,8,3
50:57.9,0.0405,-0.0724,-0.984,-0.0023,0,0.0124,-0.0257,0.036,0.0322,0.0429,0.0725,2.8659,49.737092,-123.098369,3.1312,284.1617,140.841736,8,3
50:58.0,0.0414,-0.0888,-0.9642,0.0014,-0.0146,0.035,-0.0139,0.0106,0.0022,0.0432,0.0746,2.8658,49.737092,-123.098369,3.1312,284.1617,140.841736,8,3
50:58.1,0.0247,-0.07,-0.9819,-0.0149,-0.0077,0.0153,-0.1292,-0.0157,-0.0257,0.0396,0.0623,2.8639,49.737092,-123.098369,3.1312,284.1617,140.841736,8,3
50:58.2,0.044,-0.0626,-0.9765,0.0037,-0.0073,0.0211,-0.0513,0.0287,0.0108,0.0404,0.0553,2.8637,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.3,0.0419,-0.0522,-0.9787,-0.0003,0.0005,0.019,0.0128,0.0435,0.0151,0.0423,0.0528,2.8645,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.4,0.0409,-0.0678,-0.9794,-0.0008,-0.0152,0.0184,0.0075,0.0063,0.0107,0.0418,0.0526,2.8654,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.5,0.0446,-0.1018,-0.9944,0.0027,-0.0439,0.003,0.0555,0.0114,0.0395,0.042,0.0579,2.8682,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.6,0.0291,-0.1273,-0.9588,-0.0056,-0.0663,0.0387,0.0139,-0.0616,-0.0194,0.0348,0.061,2.867,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.7,0.0269,-0.1498,-0.957,-0.0032,-0.0926,0.0409,-0.0032,0.0203,-0.0063,0.0301,0.0572,2.8641,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.8,0.0227,-0.111,-0.9852,-0.0084,-0.0589,0.013,-0.0758,-0.0023,0.0267,0.0311,0.0521,2.8669,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:58.9,0.0317,-0.1216,-0.964,-0.003,-0.0697,0.034,0.0299,0.0712,0.0131,0.0348,0.0519,2.868,49.73709,-123.098378,1.5471,284.1617,140.841736,8,3
50:59.0,0.0333,-0.1006,-1.0084,-0.0041,-0.0563,-0.0079,-0.0502,0.0786,0.0344,0.0377,0.0467,2.87,49.73709,-123.098378,1.5471,283.1358,140.841736,8,3
50:59.1,0.0282,-0.1162,-0.9445,-0.0098,-0.0695,0.0537,0.0438,0.0234,0.0011,0.038,0.0468,2.8711,49.73709,-123.098378,1.5471,283.1358,140.841736,8,3
50:59.2,0.0359,-0.0826,-0.9938,0.0004,-0.0468,0.0049,-0.0875,-0.0009,-0.0139,0.0356,0.0358,2.8697,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.3,0.0329,-0.0848,-0.9915,-0.0048,-0.0481,0.0011,0.0054,0.0363,-0.0127,0.0351,0.0325,2.868,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.4,0.04,-0.0867,-0.9851,0.0036,-0.0534,0.0137,0.0043,0.0383,0.0076,0.0364,0.0333,2.8673,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.5,0.0257,-0.0967,-0.9775,-0.0097,-0.0631,0.0213,0.0117,0.0149,-0.0021,0.0354,0.0336,2.8665,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.6,0.0311,-0.0822,-0.9937,-0.0038,-0.0494,0.0052,0.0011,0.0128,-0.0074,0.0349,0.0328,2.866,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.7,0.0263,-0.0856,-0.9815,-0.007,-0.0488,0.022,0.0245,0.0296,0.0215,0.0366,0.0351,2.8675,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.8,0.0323,-0.0821,-0.9632,-0.0028,-0.0478,0.0356,-0.0085,-0.0062,-0.0321,0.0352,0.0343,2.8652,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
50:59.9,0.0339,-0.0776,-0.9783,-0.0008,-0.0457,0.0206,-0.0363,0.0245,-0.0053,0.0347,0.0319,2.8642,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
51:00.0,0.0264,-0.0924,-0.9743,-0.0085,-0.0576,0.0245,0.048,0.0181,-0.0031,0.0349,0.0348,2.8638,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
51:00.1,0.0323,-0.1344,-0.9783,-0.0001,-0.096,0.0204,0.0427,-0.017,-0.0022,0.0325,0.0384,2.8628,49.737083,-123.09838,0.3718,283.1358,140.841736,6,3
