Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(m/s),TrueHeading,Alt(m), HorizontalAccuracy(m), VerticalAccuracy(m),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
23-Jan-2019 09:45:23.558, 0.1275,-0.3662,-0.8497, 0.0462,-0.0206, 0.0852,-0.0070, 0.0679, 0.0267, 0.0868, 0.3528, 2.8967,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-146.4292, 33.5323,-534.7520, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.559, 0.1275,-0.3662,-0.8497, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-146.4292, 33.5323,-534.7520, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.560, 0.1275,-0.3662,-0.8497, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-146.4292, 33.5323,-534.7520, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.561, 0.1275,-0.3662,-0.8497, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-146.4292, 33.5323,-534.7520, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.561, 0.1336,-0.3598,-0.8535, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.562, 0.1336,-0.3598,-0.8535, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.564, 0.1336,-0.3598,-0.8535, 0.0472,-0.0218, 0.0857,-0.2598,-0.2309,-0.0837, 0.0857, 0.3516, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.580, 0.1329,-0.3555,-0.8609, 0.0571,-0.0155, 0.0765,-0.2533,-0.2897,-0.0316, 0.0806, 0.3469, 2.8962,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.581, 0.1215,-0.3533,-0.8642, 0.0571,-0.0155, 0.0765,-0.2533,-0.2897,-0.0316, 0.0806, 0.3469, 2.8962,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
23-Jan-2019 09:45:23.596, 0.1086,-0.3537,-0.8724, 0.0367,-0.0167, 0.0664,-0.2355,-0.2653,-0.0059, 0.0765, 0.3438, 2.8965,49.737138,-123.098393, 3.4476, 340.2193, 140.842133, 6.0, 3.0,Walking,High, 100.8100,-0.4624,-148.1433, 32.3974,-533.2483, 0.0000, 0.0000, 0.0000
